Component_ID,Lot_ID,Time_hr,Temperature_C,Voltage_V,Current_mA,Stress_Value,Is_Anomaly,Failure_Mode
C00001,LOT01,0,26.02,0.0114,0.046,0,0,None
C00001,LOT01,24,125.7,3.6036,45.143,100,0,None
C00001,LOT01,72,125.52,3.6051,44.417,100,0,None
C00001,LOT01,168,123.59,3.5953,41.769,95.79,0,None
C00002,LOT02,0,25.13,0.0001,0.01,0,0,None
C00002,LOT02,24,126.14,3.6405,49.51,100,0,None
C00002,LOT02,72,126.98,3.6334,50.326,100,0,None
C00002,LOT02,168,127.03,3.6383,47.118,100,0,None
C00003,LOT03,0,24.37,0.0039,0.089,0,0,None
C00003,LOT03,24,123.6,3.6119,46.298,100,0,None
C00003,LOT03,72,123.73,3.5843,43.234,98.98,0,None
C00003,LOT03,168,124,3.6163,43.963,99.07,0,None
C00004,LOT04,0,24.9,0.0025,0.025,0,0,None
C00004,LOT04,24,123,3.5983,46.764,100,0,None
C00004,LOT04,72,123.73,3.5765,45.763,100,0,None
C00004,LOT04,168,122.58,3.5619,42.928,97.75,0,None
C00005,LOT05,0,23.66,0.0156,0.056,0,0,None
C00005,LOT05,24,124.73,3.5864,48.265,100,0,None
C00005,LOT05,72,126.18,3.6252,47.902,100,0,None
C00005,LOT05,168,125.07,3.624,46.691,100,0,None
C00006,LOT06,0,24.65,0,0.024,0,0,None
C00006,LOT06,24,126.17,3.664,48.712,100,0,None
C00006,LOT06,72,125.71,3.67,45.575,100,0,None
C00006,LOT06,168,124.65,3.6419,46,100,0,None
C00007,LOT07,0,24.8,0,0.014,0,0,None
C00007,LOT07,24,123.36,3.6275,44.11,96.41,0,None
C00007,LOT07,72,122.6,3.6164,42.904,98.07,0,None
C00007,LOT07,168,124.15,3.62,42.619,96.93,0,None
C00008,LOT08,0,25.62,0,0.085,0,0,None
C00008,LOT08,24,122.93,3.5698,46.9,100,0,None
C00008,LOT08,72,123.34,3.5939,45.712,98.51,0,None
C00008,LOT08,168,123.98,3.5551,45.323,99.57,0,None
C00009,LOT09,0,26.03,0,0.003,0,0,None
C00009,LOT09,24,123.96,3.6205,45.884,100,0,None
C00009,LOT09,72,124.33,3.6466,45.723,100,0,None
C00009,LOT09,168,125.25,3.6522,41.23,98.02,0,None
C00010,LOT10,0,24.92,0,0.021,0,0,None
C00010,LOT10,24,123.77,3.6035,45.594,100,0,None
C00010,LOT10,72,124.89,3.6271,44.976,100,0,None
C00010,LOT10,168,123.04,3.6011,44.153,100,0,None
C00011,LOT11,0,25.6,0,0.017,0,0,None
C00011,LOT11,24,122.91,3.6235,44.064,96.45,0,None
C00011,LOT11,72,125.62,3.6249,45.629,99.72,0,None
C00011,LOT11,168,126.35,3.6105,47.58,100,0,None
C00012,LOT12,0,24.5,0,0.068,0,0,None
C00012,LOT12,24,125.28,3.6212,47.917,100,0,None
C00012,LOT12,72,125.26,3.6307,46.295,100,0,None
C00012,LOT12,168,124.69,3.6167,45.722,99.85,0,None
C00013,LOT01,0,24.23,0.0074,0.019,0,0,None
C00013,LOT01,24,123.81,3.5878,47.989,100,0,None
C00013,LOT01,72,122.91,3.6219,48.216,100,0,None
C00013,LOT01,168,124.35,3.6072,45.635,100,0,None
C00014,LOT02,0,24.97,0,0.032,0,0,None
C00014,LOT02,24,125.15,3.6077,49.049,100,0,None
C00014,LOT02,72,125.75,3.6083,46.222,100,0,None
C00014,LOT02,168,124.74,3.5778,44.958,98.15,0,None
C00015,LOT03,0,25.31,0.0032,0.02,0,0,None
C00015,LOT03,24,125.56,3.5629,45.693,96.93,0,None
C00015,LOT03,72,125.09,3.5945,46.182,100,0,None
C00015,LOT03,168,125.22,3.587,44.167,98.69,0,None
C00016,LOT04,0,25.4,0,0.049,0,0,None
